Date,Basket_Amount,Upgrade_Fee,Promotion_Type,Promotion_Eligible,Net_Upgrade_Cost,Age_Group,Shopper_Type,Group_Size,Sales_Outcome,Refusal_Reason,Upgrade_Opportunity
1/1/2026,256.3,39.64,Spend20_Save10,Yes,29.64,30-44,Business,1,Accepted,N/A,High
1/1/2026,44.2,27.1,Spend20_Save10,Yes,17.1,45-59,Individual,1,Accepted,N/A,Medium
1/1/2026,90.49,8.11,Spend20_Save10,Yes,-1.89,30-44,Couple,2,Declined,Not Account Owner,High
1/1/2026,35.87,29.27,Spend20_Save10,Yes,19.27,30-44,Family,4+,Accepted,N/A,Medium
1/1/2026,212.76,21.53,Spend20_Save10,Yes,11.53,60+,Business,1,Declined,Price Concern,High
1/1/2026,10.25,15.87,Spend20_Save10,No,15.87,45-59,Individual,1,Not_Presented,N/A,Medium
1/1/2026,137.71,26.12,Spend20_Save10,Yes,16.12,45-59,Family,3,Accepted,N/A,High
1/2/2026,184.99,18.57,Spend20_Save10,Yes,8.57,45-59,Couple,2,Accepted,N/A,High
1/2/2026,26.68,14.14,Spend20_Save10,Yes,4.14,45-59,Individual,1,Declined,Infrequent Shopper,Medium
1/2/2026,38.09,33.1,Spend20_Save10,Yes,23.1,30-44,Couple,2,Declined,Other,Medium
1/2/2026,79.57,41.57,Spend20_Save10,Yes,31.57,45-59,Individual,1,Declined,Language Barrier,Medium
1/2/2026,34.53,34.86,Spend20_Save10,Yes,24.86,45-59,Individual,1,Declined,Lack of Premium Knowledge,Medium
1/2/2026,56.27,22.46,Spend20_Save10,Yes,12.46,60+,Individual,1,Accepted,N/A,Medium
1/2/2026,199.48,10.97,Spend20_Save10,Yes,0.97,60+,Family,3,Declined,Lack of Premium Knowledge,High
1/3/2026,64.96,16.84,Spend20_Save10,Yes,6.84,45-59,Couple,2,Accepted,N/A,High
1/3/2026,62.35,38.06,Spend20_Save10,Yes,28.06,30-44,Family,3,Declined,Doesn't Want Renewal Fee,Medium
1/3/2026,35.55,27.12,Spend20_Save10,Yes,17.12,45-59,Individual,1,Declined,Language Barrier,Medium
